SCHOOL_CODE,SCHOOL_YEAR,AFRICAN_AMERICAN,WHITE,ASIAN,LATINO,OTHER,PACIFIC_ISLANDER,AMERICAN_INDIAN,SCH_LOW_INCOME_FAMILY
"1010","2008-2009",92.7,2.1,3.8,0.9,0.5,0,0,"84.2"
"1010","2009-2010",92.7,1.5,4.3,1,0.5,0,0,"83.5"
"1010","2010-2011",92,1.7,4.6,1.1,0.6,0,0,"83.5"
"1010","2011-2012",90.4,1.6,5.2,1.8,0.9,0,0,"84.7"
"1010","2012-2013",91.9,1.6,3.6,2,0.8,0,0.1,"89.1"
"1020","2008-2009",98.3,0.3,0.3,0.6,0.4,0,0,"84"
"1020","2009-2010",97.4,0.5,0.7,0.8,0.7,0,0,"84.7"
"1020","2010-2011",97.9,0.7,0.4,0.6,0.4,0,0,"85.1"
"1020","2011-2012",97.4,0.6,0.6,0.9,0.4,0,0,"89.9"
"1020","2012-2013",96.5,0.7,1.1,1,0.7,0,0,"90.0"
"1030","2008-2009",95.1,1.5,0.8,2.1,0.5,0,0,"82.8"
"1030","2009-2010",92.4,4.1,0.6,2.3,0.6,0,0,"83.7"
"1030","2010-2011",92.8,4,0.3,2.8,0.3,0,0,"83.7"
"1030","2011-2012",86.5,4.8,1.5,6,1.3,0,0,"85.5"
"1030","2012-2013",84.8,3.4,2.5,8.3,1,0,0,"89.4"
"1050","2008-2009",97.6,0,0.3,1.4,0.7,0,0,"74.1"
"1050","2009-2010",97.4,0,0,2.2,0.3,0,0,"72.9"
"1050","2010-2011",97.1,0.4,0,2.1,0.4,0,0,"73.5"
"1050","2011-2012",96,0.4,0,1.5,2.2,0,0,"83.4"
"1050","2012-2013",94,0.4,0,3.4,2.2,0,0,"85.3"
"1060","2008-2009",91.8,3.4,1.6,2.6,0.6,0,0,"75.2"
"1060","2009-2010",93.5,2.6,2,1.5,0.4,0,0,"76"
"1060","2010-2011",95.2,1.9,1.7,1.2,0,0,0,"84"
"1060","2011-2012",95.4,1.1,2,1.4,0,0,0,"85"
"1060","2012-2013",94.9,1.4,2.4,1.4,0,0,0,"88.6"
"1080","2008-2009",96.6,0.5,1.1,1.4,0.4,0,0,"84.3"
"1080","2009-2010",96.7,0.6,0.9,1.2,0.6,0,0,"89"
"1080","2010-2011",94.2,0.5,1.3,3,1.1,0,0,"89"
"1080","2011-2012",91.4,0.8,2.3,3.5,2,0,0,"89.7"
"1080","2012-2013",93.4,0.6,1.5,3.3,1,0,0.2,"89.4"
"1100","2008-2009",99.1,0.3,0,0.5,0.2,0,0,"85.1"
"1100","2009-2010",97.7,0.7,0,1.6,0,0,0,"85.2"
"1100","2010-2011",97.7,0.8,0,1.1,0.3,0,0,"85.4"
"1100","2011-2012",96.9,1.2,0,1.6,0.3,0,0,"89.3"
"1100","2012-2013",97.5,1.2,0,1.2,0.2,0,0,"89.8"
"1110","2008-2009",97.3,0.7,0,1.7,0.3,0,0,"85.6"
