SCHOOL_CODE,SCHOOL_NAME_1,SCH_START_GRADE,SCH_TERM_GRADE,SCHOOL_LEVEL_NAME,SCHOOL_YEAR,ASSAULT,DRUG,MORALS,THEFT,TOTAL_SUSPENSIONS,SCH_LOW_INCOME_FAMILY
1010,JOHN BARTRAM HIGH SCHOOL,9,12,HIGH SCHOOL,2008-2009,42,14,0,1,191,84.2
1010,JOHN BARTRAM HIGH SCHOOL,9,12,HIGH SCHOOL,2009-2010,30,8,1,1,127,83.5
1010,JOHN BARTRAM HIGH SCHOOL,9,12,HIGH SCHOOL,2010-2011,33,10,0,2,157,83.5
1010,JOHN BARTRAM HIGH SCHOOL,9,12,HIGH SCHOOL,2011-2012,19,8,3,9,230,84.7
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,HIGH SCHOOL,2008-2009,38,7,0,6,287,84
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,HIGH SCHOOL,2009-2010,16,5,0,0,129,84.7
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,HIGH SCHOOL,2010-2011,23,3,0,1,230,85.1
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,HIGH SCHOOL,2011-2012,23,8,2,5,352,89.9
1030,HIGH SCHOOL OF THE FUTURE,9,12,HIGH SCHOOL,2008-2009,11,1,0,4,95,82.8
1030,HIGH SCHOOL OF THE FUTURE,9,12,HIGH SCHOOL,2009-2010,11,1,2,1,70,83.7
1030,HIGH SCHOOL OF THE FUTURE,9,12,HIGH SCHOOL,2010-2011,15,1,0,1,77,83.7
1030,HIGH SCHOOL OF THE FUTURE,9,12,HIGH SCHOOL,2011-2012,20,0,1,18,81,85.5
1050,PAUL ROBESON HIGH SCHOOL,9,12,HIGH SCHOOL,2008-2009,3,0,0,0,12,74.1
1050,PAUL ROBESON HIGH SCHOOL,9,12,HIGH SCHOOL,2009-2010,4,0,0,0,40,72.9
1050,PAUL ROBESON HIGH SCHOOL,9,12,HIGH SCHOOL,2010-2011,4,0,0,0,69,73.5
1050,PAUL ROBESON HIGH SCHOOL,9,12,HIGH SCHOOL,2011-2012,5,1,2,5,33,83.4
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,HIGH SCHOOL,2008-2009,11,0,0,0,101,75.2
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,HIGH SCHOOL,2009-2010,9,1,0,0,63,76
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,HIGH SCHOOL,2010-2011,8,2,0,0,87,84
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,HIGH SCHOOL,2011-2012,6,3,1,11,126,85
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,HIGH SCHOOL,2008-2009,42,9,0,2,399,84.3
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,HIGH SCHOOL,2009-2010,16,15,1,1,301,89
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,HIGH SCHOOL,2010-2011,12,5,0,2,222,89
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,HIGH SCHOOL,2011-2012,22,5,3,5,143,89.7
1100,SAYRE HIGH SCHOOL,9,12,HIGH SCHOOL,2008-2009,39,5,1,0,272,85.1
1100,SAYRE HIGH SCHOOL,9,12,HIGH SCHOOL,2009-2010,37,7,0,1,311,85.2
1100,SAYRE HIGH SCHOOL,9,12,HIGH SCHOOL,2010-2011,29,5,0,1,133,85.4
1100,SAYRE HIGH SCHOOL,9,12,HIGH SCHOOL,2011-2012,15,1,0,5,85,89.3
1110,SHAW MIDDLE SCHOOL,7,8,MIDDLE SCHOOL,2008-2009,15,1,3,1,67,85.6
1110,SHAW MIDDLE SCHOOL,7,8,MIDDLE SCHOOL,2009-2010,7,2,0,0,45,89.4
1110,SHAW MIDDLE SCHOOL,7,8,MIDDLE SCHOOL,2010-2011,15,0,0,2,42,93.8
1110,SHAW MIDDLE SCHOOL,7,8,MIDDLE SCHOOL,2011-2012,9,2,0,0,45,93.7
1130,TILDEN MIDDLE SCHOOL,6,8,MIDDLE SCHOOL,2008-2009,18,1,0,2,91,85.4
1130,TILDEN MIDDLE SCHOOL,6,8,MIDDLE SCHOOL,2009-2010,7,1,2,0,30,90.1
1130,TILDEN MIDDLE SCHOOL,6,8,MIDDLE SCHOOL,2010-2011,7,0,0,0,9,89.7
1130,TILDEN MIDDLE SCHOOL,6,8,MIDDLE SCHOOL,2011-2012,8,3,2,1,163,90.6
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,MIDDLE SCHOOL,2008-2009,17,1,0,0,290,83.8
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,MIDDLE SCHOOL,2009-2010,31,1,0,0,221,84.2
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,MIDDLE SCHOOL,2010-2011,14,2,0,0,152,88.8
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,MIDDLE SCHOOL,2011-2012,19,1,2,4,164,89.6
1190,MOTIVATION HIGH SCHOOL,9,12,HIGH SCHOOL,2008-2009,3,1,0,0,11,59.6
1190,MOTIVATION HIGH SCHOOL,9,12,HIGH SCHOOL,2009-2010,2,1,0,0,11,60.4
1190,MOTIVATION HIGH SCHOOL,9,12,HIGH SCHOOL,2010-2011,2,0,0,0,5,74
1190,MOTIVATION HIGH SCHOOL,9,12,HIGH SCHOOL,2011-2012,1,0,0,2,15,75.1
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,ELEMENTARY SCHOOL,2008-2009,60,0,0,1,151,89.5
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,ELEMENTARY SCHOOL,2009-2010,27,1,0,0,192,90.6
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,ELEMENTARY SCHOOL,2010-2011,14,2,0,1,150,93.9
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,ELEMENTARY SCHOOL,2011-2012,30,1,6,2,128,94.3
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,ELEMENTARY SCHOOL,2008-2009,29,1,0,0,91,86.2
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,ELEMENTARY SCHOOL,2009-2010,14,0,0,0,33,90.2
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,ELEMENTARY SCHOOL,2010-2011,25,0,1,0,47,90.7
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,ELEMENTARY SCHOOL,2011-2012,21,0,2,1,98,90.6
1250,J. W. CATHARINE SCHOOL,0,5,ELEMENTARY SCHOOL,2008-2009,10,0,1,1,19,84.9
1250,J. W. CATHARINE SCHOOL,0,5,ELEMENTARY SCHOOL,2009-2010,6,0,0,1,43,88.8
1250,J. W. CATHARINE SCHOOL,0,5,ELEMENTARY SCHOOL,2010-2011,1,0,0,0,3,89.5
1250,J. W. CATHARINE SCHOOL,0,5,ELEMENTARY SCHOOL,2011-2012,3,0,2,0,34,89.6
1260,B. B. COMEGYS SCHOOL,0,6,ELEMENTARY SCHOOL,2008-2009,14,0,0,0,61,89.2
