SCHOOL_CODE,SCHOOL_NAME_1,SCH_START_GRADE,SCH_TERM_GRADE,SCHOOL_YEAR,SCH_ATTENDANCE,SCH_ENROLLMENT,SCH_STUDENT_ENTERED,SCH_STUDENT_WITHDREW,SCH_TEACHER_ATTEND,SDP_TEACHER_ATTEND_AVG
1010,JOHN BARTRAM HIGH SCHOOL,9,12,2008-2009,80.6,1374,327,431,94,94.3
1010,JOHN BARTRAM HIGH SCHOOL,9,12,2009-2010,83.5,1305,220,292,93.5,94.3
1010,JOHN BARTRAM HIGH SCHOOL,9,12,2010-2011,82.5,1127,205,250,93.1,94.2
1010,JOHN BARTRAM HIGH SCHOOL,9,12,2011-2012,86.8,1005,74,129,95.2,93.6
1010,JOHN BARTRAM HIGH SCHOOL,9,12,2012-2013,85.6,964,59,58,,
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,2008-2009,77.9,941,236,270,93.3,94.3
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,2009-2010,82.2,872,186,223,93.1,94.3
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,2010-2011,76.1,832,190,334,93.5,94.2
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,2011-2012,82.6,795,65,48,91.1,93.6
1020,WEST PHILADELPHIA HIGH SCHOOL,9,12,2012-2013,84.3,832,53,29,,
1030,HIGH SCHOOL OF THE FUTURE,9,12,2008-2009,84.1,390,12,40,96.1,94.3
1030,HIGH SCHOOL OF THE FUTURE,9,12,2009-2010,87.7,485,9,51,94.3,94.3
1030,HIGH SCHOOL OF THE FUTURE,9,12,2010-2011,89.2,406,13,51,96.2,94.2
1030,HIGH SCHOOL OF THE FUTURE,9,12,2011-2012,93.9,406,4,21,95.2,93.6
1030,HIGH SCHOOL OF THE FUTURE,9,12,2012-2013,94.2,408,6,29,,
1050,PAUL ROBESON HIGH SCHOOL,9,12,2008-2009,89.6,292,8,15,92.3,94.3
1050,PAUL ROBESON HIGH SCHOOL,9,12,2009-2010,90.6,313,3,23,95.5,94.3
1050,PAUL ROBESON HIGH SCHOOL,9,12,2010-2011,89.5,281,10,18,92.1,94.2
1050,PAUL ROBESON HIGH SCHOOL,9,12,2011-2012,93.4,275,7,9,93.5,93.6
1050,PAUL ROBESON HIGH SCHOOL,9,12,2012-2013,94.3,267,1,2,,
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,2008-2009,81.7,497,19,96,96.2,94.3
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,2009-2010,85.7,460,10,71,94.7,94.3
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,2010-2011,84.8,420,27,60,93.7,94.2
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,2011-2012,89.8,356,0,22,93.1,93.6
1060,COMMUNICATIONS TECHNOLOGY HS,9,12,2012-2013,90.7,295,2,3,,
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,2008-2009,71.9,1131,231,432,93.5,94.3
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,2009-2010,78.5,813,115,188,95.7,94.3
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,2010-2011,80.6,656,131,180,96.9,94.2
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,2011-2012,86.4,634,48,57,94.9,93.6
1080,UNIVERSITY CITY HIGH SCHOOL,9,12,2012-2013,87.6,517,31,37,,
1100,SAYRE HIGH SCHOOL,9,12,2008-2009,77.2,637,183,163,90.7,94.3
1100,SAYRE HIGH SCHOOL,9,12,2009-2010,79.9,692,114,178,93.5,94.3
1100,SAYRE HIGH SCHOOL,9,12,2010-2011,76.2,615,127,138,90.2,94.2
1100,SAYRE HIGH SCHOOL,9,12,2011-2012,85.8,596,42,47,93.3,93.6
1100,SAYRE HIGH SCHOOL,9,12,2012-2013,83.5,513,29,25,,
1110,SHAW MIDDLE SCHOOL,7,8,2008-2009,92.3,296,45,53,96.5,94.3
1110,SHAW MIDDLE SCHOOL,7,8,2009-2010,93.5,244,45,29,97.4,94.3
1110,SHAW MIDDLE SCHOOL,7,8,2010-2011,94,237,46,46,97.3,94.2
1110,SHAW MIDDLE SCHOOL,7,8,2011-2012,93.7,233,14,7,96.1,93.6
1110,SHAW MIDDLE SCHOOL,7,8,2012-2013,94.2,191,10,8,,
1130,TILDEN MIDDLE SCHOOL,6,8,2008-2009,91,445,63,100,89.1,94.3
1130,TILDEN MIDDLE SCHOOL,6,8,2009-2010,90.6,420,40,63,93,94.3
1130,TILDEN MIDDLE SCHOOL,6,8,2010-2011,89.6,405,63,55,93.6,94.2
1130,TILDEN MIDDLE SCHOOL,6,8,2011-2012,90.4,335,21,11,95,93.6
1130,TILDEN MIDDLE SCHOOL,6,8,2012-2013,97.5,375,23,11,,
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,2008-2009,90.7,703,111,172,95.2,94.3
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,2009-2010,91.1,659,99,135,96,94.3
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,2010-2011,91,565,110,119,94.5,94.2
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,2011-2012,91.8,474,28,21,94,93.6
1150,GEORGE PEPPER MIDDLE SCHOOL,5,8,2012-2013,93.9,416,14,28,,
1190,MOTIVATION HIGH SCHOOL,9,12,2008-2009,94.1,217,9,13,98.7,94.3
1190,MOTIVATION HIGH SCHOOL,9,12,2009-2010,95.2,222,1,6,90.7,94.3
1190,MOTIVATION HIGH SCHOOL,9,12,2010-2011,95,206,11,13,97.1,94.2
1190,MOTIVATION HIGH SCHOOL,9,12,2011-2012,97.6,217,2,6,96.3,93.6
1190,MOTIVATION HIGH SCHOOL,9,12,2012-2013,97.4,244,1,5,,
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,2008-2009,89.1,645,218,155,93.7,94.3
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,2009-2010,90,758,143,115,92.1,94.3
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,2010-2011,91.1,756,121,143,92.7,94.2
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,2011-2012,93.1,835,64,27,92,93.6
1200,JOHN BARRY ELEMENTARY SCHOOL,0,8,2012-2013,95,828,177,24,,
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,2008-2009,90.3,520,98,109,95,94.3
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,2009-2010,91.8,528,73,82,88,94.3
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,2010-2011,91.6,476,94,97,88.3,94.2
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,2011-2012,91.7,522,22,29,94.3,93.6
1230,BRYANT ACADEMICS PLUS SCHOOL,0,8,2012-2013,90.2,495,106,60,,
1250,J. W. CATHARINE SCHOOL,0,5,2008-2009,91.8,620,80,114,96.8,94.3
1250,J. W. CATHARINE SCHOOL,0,5,2009-2010,93.2,604,81,66,93,94.3
1250,J. W. CATHARINE SCHOOL,0,5,2010-2011,92.5,583,76,87,95.2,94.2
1250,J. W. CATHARINE SCHOOL,0,5,2011-2012,95.7,582,24,6,94.6,93.6
1250,J. W. CATHARINE SCHOOL,0,5,2012-2013,96,587,150,24,,
1260,B. B. COMEGYS SCHOOL,0,6,2008-2009,92.5,548,105,89,91.1,94.3
1260,B. B. COMEGYS SCHOOL,0,6,2009-2010,92.4,590,120,92,94.2,94.3
1260,B. B. COMEGYS SCHOOL,0,6,2010-2011,90.9,485,109,87,92.8,94.2
1260,B. B. COMEGYS SCHOOL,0,6,2011-2012,92.9,418,30,21,90,93.6
1260,B. B. COMEGYS SCHOOL,0,6,2012-2013,93.9,443,95,23,,
1280,PENN ALEXANDER SCHOOL,0,8,2008-2009,95.6,527,27,44,97,94.3
1280,PENN ALEXANDER SCHOOL,0,8,2009-2010,96.3,544,19,10,97.9,94.3
1280,PENN ALEXANDER SCHOOL,0,8,2010-2011,96.3,589,19,48,97,94.2
1280,PENN ALEXANDER SCHOOL,0,8,2011-2012,98.2,553,1,6,97.7,93.6
1280,PENN ALEXANDER SCHOOL,0,8,2012-2013,98.1,553,82,3,,
1290,ANDREW HAMILTON SCHOOL,0,8,2008-2009,92.3,688,57,74,95,94.3
1290,ANDREW HAMILTON SCHOOL,0,8,2009-2010,93.5,641,55,67,96.2,94.3
1290,ANDREW HAMILTON SCHOOL,0,8,2010-2011,92.8,601,110,74,96.4,94.2
1290,ANDREW HAMILTON SCHOOL,0,8,2011-2012,95.4,627,44,14,92.6,93.6
1290,ANDREW HAMILTON SCHOOL,0,8,2012-2013,95.1,569,63,15,,
1300,A. D. HARRINGTON SCHOOL,0,6,2008-2009,92.8,455,58,71,97.4,94.3
1300,A. D. HARRINGTON SCHOOL,0,6,2009-2010,93.9,449,59,35,94.1,94.3
1300,A. D. HARRINGTON SCHOOL,0,6,2010-2011,93.2,446,93,47,94.6,94.2
1300,A. D. HARRINGTON SCHOOL,0,6,2011-2012,95.7,516,45,17,95.9,93.6
1300,A. D. HARRINGTON SCHOOL,0,6,2012-2013,96.2,490,105,36,,
1330,SAMUEL B HUEY SCHOOL,0,8,2008-2009,92.6,744,142,109,93,94.3
1330,SAMUEL B HUEY SCHOOL,0,8,2009-2010,92.7,759,122,98,94.9,94.3
1330,SAMUEL B HUEY SCHOOL,0,8,2010-2011,91.7,805,121,148,93.8,94.2
1330,SAMUEL B HUEY SCHOOL,0,8,2011-2012,91.5,760,41,32,94.1,93.6
1330,SAMUEL B HUEY SCHOOL,0,8,2012-2013,87.5,690,117,19,,
1340,HENRY C. LEA SCHOOL,0,8,2008-2009,92.4,431,51,53,95.7,94.3
1340,HENRY C. LEA SCHOOL,0,8,2009-2010,92.5,438,38,38,96.1,94.3
1340,HENRY C. LEA SCHOOL,0,8,2010-2011,92.1,396,62,58,95.6,94.2
1340,HENRY C. LEA SCHOOL,0,8,2011-2012,95.2,355,23,12,93.4,93.6
1340,HENRY C. LEA SCHOOL,0,8,2012-2013,96.1,400,80,7,,
1350,W C LONGSTRETH SCHOOL,0,8,2008-2009,91.3,572,93,106,92.6,94.3
1350,W C LONGSTRETH SCHOOL,0,8,2009-2010,91.8,522,87,71,93.4,94.3
1350,W C LONGSTRETH SCHOOL,0,8,2010-2011,92.5,518,66,66,94.2,94.2
1350,W C LONGSTRETH SCHOOL,0,8,2011-2012,93.7,503,21,27,91.7,93.6
1350,W C LONGSTRETH SCHOOL,0,8,2012-2013,91.4,480,109,49,,
