SCHOOL_CODE,SCHOOL_YEAR,SCH_ATTENDANCE,SCH_ENROLLMENT,SCH_STUDENT_ENTERED,SCH_STUDENT_WITHDREW
"4560","2010-2011",91.6,313,57,53
"4030","2010-2011",94.7,704,3,21
"2420","2010-2011",92.5,368,47,77
"2210","2010-2011",93.6,375,26,37
"4150","2010-2011",83.6,500,86,129
"1080","2010-2011",80.6,656,131,180
"7130","2010-2011",92,562,57,70
"6430","2010-2011",92.5,389,90,71
"6330","2010-2011",89.5,602,113,187
"6310","2010-2011",94.8,386,37,43
"6240","2010-2011",92.1,349,71,57
"7260","2010-2011",94.6,408,39,33
"6230","2010-2011",95.1,333,9,37
"6110","2010-2011",89.9,362,73,87
"6100","2010-2011",92,313,30,43
"7530","2010-2011",94.2,463,41,53
"6440","2010-2011",94.5,417,39,32
"6220","2010-2011",92.2,600,101,85
"7490","2010-2011",93.4,427,45,42
"7320","2010-2011",92.7,317,44,60
"6470","2010-2011",91.4,850,136,147
"6400","2010-2011",86.8,179,12,4
"6460","2010-2011",95.1,214,6,9
"6260","2010-2011",93.2,476,37,41
"2510","2010-2011",94.6,340,28,24
"2470","2010-2011",94.7,506,20,17
"8090","2010-2011",91.4,794,9,29
"6060","2010-2011",80.8,1049,180,384
"6020","2010-2011",78.2,943,210,370
"4060","2010-2011",86.6,808,4,92
"7120","2010-2011",80.8,1548,246,377
"4140","2010-2011",79.6,426,63,125
"4020","2010-2011",78.6,1500,254,397
"1100","2010-2011",76.2,615,127,138
"7010","2010-2011",75,1793,268,449
"5060","2010-2011",88.4,960,9,81
"1060","2010-2011",84.8,420,27,60
"6030","2010-2011",83.7,652,54,142
"5020","2010-2011",77,1671,374,552
"2160","2010-2011",85.8,575,114,91
"1020","2010-2011",76.1,832,190,334
"1010","2010-2011",82.5,1127,205,250
"8030","2010-2011",87.6,2035,194,216
"5510","2010-2011",74.7,507,113,196
"2130","2010-2011",82.1,339,104,101
"2000","2010-2011",77.8,843,238,309
"8010","2010-2011",82,1794,281,474
"2010","2010-2011",82.9,642,124,198
"2440","2010-2011",90.1,421,78,62
"2340","2010-2011",96.7,571,59,53
"2200","2010-2011",91.2,548,116,84
"2690","2010-2011",93,460,70,63
"2480","2010-2011",93.3,199,29,26
"2450","2010-2011",92.3,226,24,20
"2320","2010-2011",93.2,605,81,102
"2240","2010-2011",92.4,393,32,52
"2090","2010-2011",85.6,1010,7,132
"5470","2010-2011",92.4,674,112,97
"5420","2010-2011",93.3,596,71,57
"5200","2010-2011",93.6,424,32,37
"7440","2010-2011",91.8,583,80,100
"5410","2010-2011",93.1,284,55,51
"5390","2010-2011",90.7,414,59,86
"5230","2010-2011",94.5,794,1,30
"5210","2010-2011",92.1,469,95,56
"7390","2010-2011",91.9,725,101,107
"7290","2008-2009",90.2,413,68,70
"5300","2008-2009",91.7,440,45,51
"1190","2008-2009",94.1,217,9,13
"6410","2008-2009",95.2,386,32,39
"7100","2010-2011",93.4,462,101,96
"6390","2010-2011",92.1,561,105,87
"6050","2010-2011",91.8,1094,10,60
"5500","2010-2011",93.9,718,93,68
"7270","2010-2011",94.1,861,64,83
"7370","2010-2011",93.9,758,62,55
"7310","2010-2011",93.3,669,87,73
"7500","2010-2011",91.5,683,82,98
"7400","2010-2011",94.6,789,97,95
"7200","2010-2011",92.5,712,126,87
"4310","2010-2011",90.7,354,58,67
"8300","2008-2009",92.9,913,81,62
"5370","2008-2009",94.7,413,35,44
"1430","2008-2009",92.2,268,28,40
"6110","2008-2009",88,386,122,120
"4330","2008-2009",82.2,321,50,69
"8200","2008-2009",92.5,943,104,102
"4380","2008-2009",91.5,385,76,59
"8030","2008-2009",86.1,2082,234,287
"6470","2008-2009",92.2,885,169,172
"5490","2008-2009",91.4,453,84,89
"2590","2008-2009",93.2,234,17,12
"2210","2008-2009",92.5,416,27,31
"6450","2008-2009",94.8,263,9,12
"4270","2008-2009",93.8,267,50,27
"2140","2008-2009",96.7,1212,1,7
"7330","2008-2009",91.7,715,96,72
"7270","2008-2009",92.5,873,87,84
"6070","2008-2009",91.4,311,2,25
"1470","2008-2009",91.2,428,136,109
"4280","2008-2009",92.8,370,27,33
"5440","2008-2009",91.9,721,154,135
"1280","2008-2009",95.6,527,27,44
"2320","2008-2009",91.5,585,78,67
"6390","2008-2009",92.9,498,99,91
"8160","2008-2009",93.2,1303,78,131
"6300","2008-2009",91.9,436,60,55
"7110","2008-2009",86.5,884,174,216
"5200","2008-2009",93.7,415,42,26
"7320","2008-2009",93,288,47,61
"7510","2010-2011",92.2,639,85,83
"7350","2010-2011",93.5,982,129,99
"8250","2010-2011",93.4,1128,124,123
"5650","2010-2011",91.9,226,47,35
"5400","2010-2011",92.2,695,61,88
"7110","2010-2011",90,829,136,212
"5440","2010-2011",92.2,772,165,111
"5520","2010-2011",81.5,519,458,133
"5430","2010-2011",92.2,393,9,15
"8200","2010-2011",91.9,912,119,108
"7470","2010-2011",93.3,451,19,25
"7290","2010-2011",90.8,470,118,92
"8240","2010-2011",91.5,826,135,127
"7150","2010-2011",93.4,1088,90,80
"8300","2010-2011",94.1,991,96,82
"7330","2010-2011",92.3,853,86,97
"5600","2010-2011",87.8,81,21,39
"5590","2010-2011",91.9,937,182,189
"5550","2010-2011",76.8,506,76,150
"5530","2010-2011",89.7,766,176,158
"5240","2010-2011",81.6,268,33,60
"7360","2010-2011",91.1,397,85,96
"8440","2010-2011",93.8,762,88,85
"8120","2010-2011",92.8,1201,123,115
"8390","2010-2011",92.4,802,88,77
"8350","2010-2011",93.6,1320,168,167
"8320","2010-2011",92.5,165,20,21
"8260","2010-2011",94.1,414,34,31
"8160","2010-2011",93.6,1276,69,149
"8230","2010-2011",94.3,375,20,34
"6200","2008-2009",94.6,515,88,94
"7380","2008-2009",91.8,484,79,73
"5170","2008-2009",91.2,656,87,101
"1490","2008-2009",92.3,383,91,57
"2010","2008-2009",82.1,647,91,145
"5530","2008-2009",90,881,139,207
"5350","2008-2009",91.7,315,31,38
"8160","2009-2010",94.2,1307,55,133
"4450","2009-2010",92.2,325,51,59
"2480","2009-2010",93.8,203,25,22
"2540","2009-2010",94.4,424,34,46
"8410","2009-2010",94.3,700,56,48
"8440","2009-2010",94,749,78,30
"5400","2009-2010",92.2,666,74,79
"7320","2009-2010",92.9,305,51,40
"1390","2009-2010",95.5,241,11,12
"8020","2009-2010",88.8,3218,243,289
"5020","2009-2010",80.1,1923,218,362
"5520","2009-2010",82.5,536,150,162
"1230","2009-2010",91.8,528,73,82
"6340","2009-2010",93.8,409,44,36
"1150","2009-2010",91.1,659,99,135
"6330","2009-2010",89.6,646,119,143
"7360","2009-2010",91.7,389,81,53
"7460","2009-2010",94.2,545,64,55
"5250","2009-2010",92.1,182,27,22
"2390","2009-2010",93.4,353,50,50
"1360","2009-2010",89.8,289,63,45
"6260","2009-2010",93.4,519,31,33
"6240","2009-2010",93.8,339,71,54
"5420","2008-2009",93.1,627,60,70
"8380","2008-2009",93.8,830,70,46
"8440","2008-2009",93.5,757,79,59
