SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME
"1020","WEST PHILADELPHIA HIGH SCHOOL","WEST PHILADELPHIA HIGH SCHOOL","4901 CHESTNUT ST.","19139",,"PHILADELPHIA               ","PA","2154712902","09 ","12 ","www.philasd.org/schools/westphila","HIGH SCHOOL"
"2410","GIRARD ACADEMIC MUSIC PROGRAM","GIRARD ACADEMIC MUSIC PROGRAM","2136 W. RITNER ST.","19145",,"PHILADELPHIA               ","PA","2159528589","05 ","12 ","www.philasd.org/schools/gamp","HIGH SCHOOL"
"1010","JOHN BARTRAM HIGH SCHOOL","BARTRAM, JOHN HIGH","2401 S. 67TH ST.","19142",,"PHILADELPHIA               ","PA","2154926450","09 ","12 ",,"HIGH SCHOOL"
"7370","GROVER WASHINGTON JR. MIDDLE","WASHINGTON, GROVER JR. MIDDLE","201 E. OLNEY AVE.","19120",,"PHILADELPHIA               ","PA","2154560422","05 ","08 ","www.philasd.org/schools/grover","MIDDLE SCHOOL"
"1080","UNIVERSITY CITY HIGH SCHOOL","UNIVERSITY CITY HIGH SCHOOL","3601 FILBERT ST.","19104",,"PHILADELPHIA               ","PA","2153875100","09 ","12 ","www.philasd.org/schools/ucity","HIGH SCHOOL"
"1100","SAYRE HIGH SCHOOL","SAYRE, WILLIAM L. HIGH SCHOOL","5800 WALNUT ST.","19139",,"PHILADELPHIA               ","PA","2154712904","09 ","12 ","www.philasd.org/schools/sayre","HIGH SCHOOL"
"1110","SHAW MIDDLE SCHOOL","SHAW, ANNA H. MIDDLE SCH","5400 WARRINGTON AVE.","19143",,"PHILADELPHIA               ","PA","2157272161","07 ","08 ","www.philasd.org/schools/shaw","MIDDLE SCHOOL"
"1130","TILDEN MIDDLE SCHOOL","TILDEN MIDDLE SCHOOL","6601 ELMWOOD AVE.","19142",,"PHILADELPHIA               ","PA","2154926454","06 ","08 ",,"MIDDLE SCHOOL"
"1150","GEORGE PEPPER MIDDLE SCHOOL","PEPPER, GEORGE MIDDLE SCHOOL","2901 S. 84TH ST.","19153",,"PHILADELPHIA               ","PA","2154926457","05 ","08 ","www.philasd.org/schools/pepper","MIDDLE SCHOOL"
"1200","JOHN BARRY ELEMENTARY SCHOOL","BARRY, JOHN ELEMENTARY SCHOOL","5900 RACE ST.","19139",,"PHILADELPHIA               ","PA","2154712744","00 ","08 ",,"ELEMENTARY SCHOOL"
"1440","PENROSE SCHOOL","PENROSE SCHOOL","2515 S. 78TH ST.","19153",,"PHILADELPHIA               ","PA","2154926455","00 ","08 ","www.philasd.org/schools/penrose","ELEMENTARY SCHOOL"
"1460","ADD B ANDERSON SCHOOL","ANDERSON, ADD B. SCHOOL","1034 S. 60TH ST.","19143",,"PHILADELPHIA               ","PA","2154712903","00 ","08 ","www.philasd.org/schools/anderson","ELEMENTARY SCHOOL"
"1470","ALAIN LOCKE SCHOOL","LOCKE, ALAIN SCHOOL","4550 HAVERFORD AVE.","19139",,"PHILADELPHIA               ","PA","2158238202","00 ","08 ","www.philasd.org/schools/locke","ELEMENTARY SCHOOL"
"1490","BLANKENBURG SCHOOL","BLANKENBURG, RUDOLPH SCHOOL","4600 W. GIRARD AVE.","19131",,"PHILADELPHIA               ","PA","2155815505","00 ","08 ","www.philasd.org/schools/blankenburg","ELEMENTARY SCHOOL"
"1530","JOSEPH LEIDY SCHOOL","LEIDY, JOSEPH SCHOOL","1301 BELMONT AVE.","19104",,"PHILADELPHIA               ","PA","2155815500","00 ","08 ","www.philasd.org/schools/leidy","ELEMENTARY SCHOOL"
"1580","MIDDLE YEARS ALTERNATIVE-MYA","MYA-MIDDLE YEARS ALTERNATIVE","4725 FAIRMOUNT AVE.","19139",,"PHILADELPHIA               ","PA","2155815633","05 ","08 ","www.philasd.org/schools/mya","MIDDLE SCHOOL"
