SCHOOL_CODE,SCHOOL_YEAR,GRADE,MATH_ADVANCED_PERCENT,MATH_PROFICIENT_PERCENT,MATH_BASIC_PERCENT,MATH_BELOW_BASIC_PERCENT,READ_ADVANCED_PERCENT,READ_PROFICIENT_PERCENT,READ_BASIC_PERCENT,READ_BELOW_BASIC_PERCENT,MATH_COMBINED_PERCENT,READ_COMBINED_PERCENT
"1580","2008-2009","04",,,,,,,,,,
"7130","2008-2009","04",,,,,,,,,,
"2000","2008-2009","04",,,,,,,,,,
"2010","2008-2009","04",,,,,,,,,,
"2020","2008-2009","04",,,,,,,,,,
"2090","2008-2009","04",,,,,,,,,,
"2130","2008-2009","04",,,,,,,,,,
"2140","2008-2009","04",,,,,,,,,,
"2160","2008-2009","04",,,,,,,,,,
"5600","2008-2009","04",,,,,,,,,,
"2290","2008-2009","04",,,,,,,,,,
"7500","2008-2009","04",,,,,,,,,,
"7730","2008-2009","04",,,,,,,,,,
"8020","2008-2009","04",,,,,,,,,,
"8320","2008-2009","04",,,,,,,,,,
"8030","2008-2009","04",,,,,,,,,,
"8090","2008-2009","04",,,,,,,,,,
"8120","2008-2009","04",,,,,,,,,,
"8140","2008-2009","04",,,,,,,,,,
"8160","2008-2009","04",,,,,,,,,,
"8010","2008-2009","04",,,,,,,,,,
"4060","2008-2009","04",,,,,,,,,,
"4100","2008-2009","04",,,,,,,,,,
"4140","2008-2009","04",,,,,,,,,,
"4150","2008-2009","04",,,,,,,,,,
"4020","2008-2009","04",,,,,,,,,,
"4030","2008-2009","04",,,,,,,,,,
"5020","2008-2009","04",,,,,,,,,,
"5060","2008-2009","04",,,,,,,,,,
"5070","2008-2009","04",,,,,,,,,,
"5430","2008-2009","04",,,,,,,,,,
"5450","2008-2009","04",,,,,,,,,,
"1050","2008-2009","04",,,,,,,,,,
"1060","2008-2009","04",,,,,,,,,,
"5080","2008-2009","04",,,,,,,,,,
"5110","2008-2009","04",,,,,,,,,,
"5150","2008-2009","04",,,,,,,,,,
"5230","2008-2009","04",,,,,,,,,,
"6050","2008-2009","04",,,,,,,,,,
"6060","2008-2009","04",,,,,,,,,,
"6090","2008-2009","04",,,,,,,,,,
"6100","2008-2009","04",,,,,,,,,,
"6110","2008-2009","04",,,,,,,,,,
"6460","2008-2009","04",,,,,,,,,,
"6010","2008-2009","04",,,,,,,,,,
"6020","2008-2009","04",,,,,,,,,,
"6030","2008-2009","04",,,,,,,,,,
"6040","2008-2009","04",,,,,,,,,,
"6480","2008-2009","04",,,,,,,,,,
"6540","2008-2009","04",,,,,,,,,,
"7110","2008-2009","04",,,,,,,,,,
"7380","2008-2009","07",,,,,,,,,,
"7430","2008-2009","07",,,,,,,,,,
"7440","2008-2009","07",,,,,,,,,,
"7470","2008-2009","07",,,,,,,,,,
"7490","2008-2009","07",,,,,,,,,,
"7530","2008-2009","07",,,,,,,,,,
"8020","2008-2009","07",,,,,,,,,,
"8250","2008-2009","07",,,,,,,,,,
"8260","2008-2009","07",,,,,,,,,,
"8270","2008-2009","07",,,,,,,,,,
"8310","2008-2009","07",,,,,,,,,,
"8340","2008-2009","07",,,,,,,,,,
"8030","2008-2009","07",,,,,,,,,,
"8090","2008-2009","07",,,,,,,,,,
"8180","2008-2009","07",,,,,,,,,,
"8210","2008-2009","07",,,,,,,,,,
"8230","2008-2009","07",,,,,,,,,,
"8010","2008-2009","07",,,,,,,,,,
"8360","2008-2009","07",,,,,,,,,,
"8370","2008-2009","07",,,,,,,,,,
"8440","2008-2009","07",,,,,,,,,,
"8410","2008-2009","07",,,,,,,,,,
"4060","2008-2009","07",,,,,,,,,,
"4140","2008-2009","07",,,,,,,,,,
"4020","2008-2009","07",,,,,,,,,,
"4030","2008-2009","07",,,,,,,,,,
"8400","2008-2009","07",,,,,,,,,,
"4240","2008-2009","07",,,,,,,,,,
"4280","2008-2009","07",,,,,,,,,,
"6390","2008-2009","07",,,,,,,,,,
"4370","2008-2009","07",,,,,,,,,,
"4380","2008-2009","07",,,,,,,,,,
"4390","2008-2009","07",,,,,,,,,,
