SCHOOL_CODE,SCHOOL_YEAR,SCH_SPEC_ED_SERVICES,SCH_MG,SCH_ESOL_SERVICES
"1370","2010-2011",8.5,0.4,0.6
"1030","2010-2011",13.8,2.2,1.5
"5510","2010-2011",29.4,0.2,11.3
"5050","2010-2011",7.2,5.2,4.4
"7270","2010-2011",8,0.5,4.4
"7130","2010-2011",24.8,0.9,1.4
"1260","2010-2011",10.2,0.2,0.4
"8430","2010-2011",15.8,9.3,4.2
"8230","2010-2011",10.4,2.7,8.8
"4300","2010-2011",11.2,0.2,0.2
"7730","2010-2011",24.7,1.3,25.1
"7320","2010-2011",12.5,0.6,0.6
"6350","2010-2011",10.3,0.9,0.9
"8380","2010-2011",14,2.2,15.9
"6110","2010-2011",24.9,0.8,1.4
"6260","2010-2011",19.5,8.5,0.8
"2190","2010-2011",10,0.8,17.2
"2200","2010-2011",12.4,0.2,0.7
"7260","2010-2011",9.5,1.7,0.2
"8260","2010-2011",9.5,4.9,7
"6410","2010-2011",12.6,4.2,0.2
"2720","2010-2011",12.5,0.6,14.6
"6450","2010-2011",17.8,5.5,0.4
"6300","2010-2011",18.5,0,3.6
"7350","2010-2011",6.8,1,20.7
"4400","2010-2011",8.5,0.5,0
"4330","2010-2011",12.4,0.8,1.6
"2670","2010-2011",10.5,10.2,4.2
"4030","2010-2011",3.3,17.8,3.3
"2410","2010-2011",5.4,17.3,0.2
"1050","2010-2011",12.8,3.2,0.4
"6100","2010-2011",26.7,2.6,0.3
"2490","2010-2011",9.5,0,2.3
"2240","2010-2011",18.4,1.3,2
"1130","2010-2011",19.7,0.7,5.2
"1440","2010-2011",14.1,0.2,2.8
"5250","2010-2011",18.8,0,0.6
"7490","2010-2011",13.4,0,0
"4440","2010-2011",10.1,0.5,0.5
"1430","2010-2011",17.7,0.4,3.9
"4370","2010-2011",7.4,0,0
"4530","2010-2011",8.4,1.2,0
"6210","2010-2011",14.9,1.9,0.5
"8350","2010-2011",12.3,1.7,12.3
"4220","2010-2011",16.7,0.8,0
"4270","2010-2011",19.8,0,0
"8410","2010-2011",10.7,2.3,13.1
"2090","2010-2011",17.6,1.7,8
"2000","2010-2011",22.6,0.5,19.5
"1100","2010-2011",18.2,1.1,0.7
"1190","2010-2011",7.3,3.4,6.3
"2690","2010-2011",12.9,0,24.8
"1490","2010-2011",13.5,0.3,0.3
"4100","2010-2011",16,0.4,0.8
"4060","2008-2009",8.9,2.9,0
"4480","2008-2009",27.2,9.8,4.3
"5050","2008-2009",7.9,6.9,2.5
"6320","2008-2009",12.1,1.8,0
"7400","2008-2009",11.9,1.7,21.4
"8420","2008-2009",19.1,7.3,4.8
"8350","2008-2009",14.4,3,11.1
"8120","2008-2009",15,4.2,10.7
"2490","2008-2009",11.4,1,8.6
"5110","2008-2009",23.4,1,13.6
"1360","2008-2009",15.2,0,0
"1370","2008-2009",10.8,0.7,0.2
"8380","2008-2009",12.4,4.1,16.9
"5280","2008-2009",14.7,1.2,10.7
"4240","2008-2009",8.2,0.3,0.9
"2720","2008-2009",16.1,0.9,17
"5530","2008-2009",9.6,0,13.7
"1460","2008-2009",9.4,0.9,0.5
"6340","2008-2009",13.5,1.4,0
"6430","2008-2009",15.2,0,0
"7470","2008-2009",11.2,0.7,0
"5440","2008-2009",9.3,0,14.8
"1390","2008-2009",4.3,9,0.9
"8030","2008-2009",18.6,6.8,10.2
"8090","2008-2009",17.4,4.8,4.1
"1420","2008-2009",17.6,0,0.8
"8200","2008-2009",12,4.5,11.2
"1410","2008-2009",12.2,0,0
"1290","2008-2009",10,3.9,0
"8390","2008-2009",17,1.4,5
"4310","2008-2009",18.6,0.5,0.3
"6480","2008-2009",6.7,8.8,0.4
"8400","2008-2009",9.8,2.2,15.6
"7290","2008-2009",13.3,1.5,6.5
"1260","2008-2009",13.3,0.2,0.2
"7260","2008-2009",15.5,2.1,1.4
"7380","2008-2009",15.1,3.7,22.1
"7200","2008-2009",6,2,18
"2160","2008-2009",22,1.6,18.5
"6020","2008-2009",29.7,1.6,0.2
"4100","2008-2009",14,1.1,0.7
"6330","2008-2009",13.6,0.6,0.4
"1530","2008-2009",27.8,1,0.3
"2470","2008-2009",19.4,10.3,1.3
"4430","2008-2009",8.7,0.7,0
"8430","2008-2009",15.9,11.6,4.9
"5210","2008-2009",15.5,1.5,19.3
"1250","2008-2009",12.6,0,12.6
"6060","2008-2009",24,1.1,1.4
"5520","2008-2009",22.8,0.8,11
"6090","2008-2009",11.2,1.8,0
"7300","2008-2009",13.4,0.6,17.4
"1330","2008-2009",8.5,0.1,0
"1130","2008-2009",18.2,0.7,6.7
"5200","2008-2009",14.5,1.2,3.4
"8240","2008-2009",15.6,2,3.8
"8040","2008-2009",13.2,11.6,1.7
"5250","2008-2009",18.7,0.9,0
"5590","2008-2009",15.1,0,7.2
"1380","2008-2009",12.8,0.3,11.5
"5490","2008-2009",15.5,1.5,14.8
"8180","2008-2009",20.6,7.5,0.4
"1020","2008-2009",19.2,0.6,1.6
"6400","2008-2009",96.7,0,1.1
"1100","2008-2009",19.5,0.9,0
"5550","2008-2009",22,0.9,10
"5230","2008-2009",2.5,17.5,1.5
"7270","2008-2009",9,0.9,3.7
"4320","2008-2009",11.2,0.2,3.7
"1470","2008-2009",12.4,0,0.9
"2580","2008-2009",8.8,1.7,44.1
"8340","2008-2009",14.4,3.1,16.7
"6220","2008-2009",14.5,2.4,0
"7530","2008-2009",15.1,1.9,0
"8440","2008-2009",14.8,1.5,20.2
"5370","2008-2009",10.4,3.9,9.7
"7440","2008-2009",13.1,1.3,21.5
"2260","2010-2011",12,2,17.5
"5420","2010-2011",12.6,0.8,6.4
"5590","2010-2011",11.1,0,6.9
"6310","2010-2011",12.4,2.8,0.3
"5200","2010-2011",11.8,0.9,1.2
"5330","2010-2011",19.2,1,13
"2520","2010-2011",11.2,0,2.8
"2320","2010-2011",8.4,0,24.3
"7440","2010-2011",9.1,1.4,26.6
"5300","2010-2011",17.7,2.2,1
"4310","2010-2011",17.1,3.6,0.3
"6200","2010-2011",15,4.4,0.8
"4450","2010-2011",14.8,0.3,0
"8030","2010-2011",18.3,7.2,5.6
"7290","2010-2011",13.7,0.9,6.2
"8040","2010-2011",10.3,13.5,4.7
"2130","2010-2011",26,2.9,0.3
"8090","2010-2011",17.7,3.7,6.1
"2650","2010-2011",5.2,17.9,1.9
"5600","2010-2011",22.2,2.5,9.9
"1410","2010-2011",11.3,0,0
"2630","2010-2011",15.9,1.7,4
"2590","2010-2011",20.2,0.8,8.1
"4560","2010-2011",12.8,1.6,0
"8270","2010-2011",15.1,1.2,9.1
"6020","2010-2011",29.5,1,0.5
"4470","2010-2011",17.5,0.5,0.2
"4150","2010-2011",17.5,1,0
"7390","2010-2011",10.9,1.1,12.3
"1020","2010-2011",20.6,0.5,2
"7120","2010-2011",18.4,1,12.9
"8020","2010-2011",12.9,5,14
"5520","2010-2011",19.5,0.6,17
"6030","2010-2011",20.7,2.6,1.1
"1080","2010-2011",24.9,0.6,5.3
"5150","2010-2011",6,11.9,2.7
"2020","2010-2011",4.7,19.4,1.5
"7150","2010-2011",9.9,0.9,15.7
"8160","2010-2011",16.4,17.8,7.5
"1580","2010-2011",6.1,4.1,2
"5390","2010-2011",14.7,0,23.4
"7430","2010-2011",13.1,0.2,4.4
"5370","2010-2011",8.6,2,9.8
"8310","2010-2011",8.1,0.3,25.5
"7280","2010-2011",8.6,1.2,13.7
"7300","2010-2011",10.4,0.3,14.5
"5470","2010-2011",8.8,0.1,21.1
"4060","2010-2011",16.1,2,1.7
"5060","2010-2011",13,2.2,8
"5070","2010-2011",10.6,6.2,0
"8140","2010-2011",24.4,4.2,4.2
"2340","2010-2011",7.7,9.3,28.5
"5260","2010-2011",7.9,0.1,23.2
"7200","2010-2011",5.4,1.1,13.4
"7470","2010-2011",8.9,1.1,0.9
"7370","2010-2011",18,2.4,10.6
"1230","2010-2011",10.4,0.6,0.9
"6460","2010-2011",29.4,26.2,0
"2390","2010-2011",19.2,1.2,0
"1340","2010-2011",10.5,0,11.5
"2450","2010-2011",13.8,5.3,0.9
"4240","2010-2011",7.3,0,2.7
"6320","2010-2011",11.6,1.3,0
"2420","2010-2011",11.9,1.6,0
"8300","2010-2011",7.7,2.9,11.6
"4380","2010-2011",14.3,0.3,0
"5350","2010-2011",21.9,0,12.8
"2440","2010-2011",10,0.5,1.2
"5090","2010-2011",8.7,3.5,0.7
"6070","2010-2011",11.3,3.4,3.8
"1290","2010-2011",12.7,2.7,0
"6250","2010-2011",12.8,14.6,0
"8320","2010-2011",34.5,9.1,1.8
"8340","2010-2011",15.9,1.3,17.8
"7530","2010-2011",11.8,1.1,0.2
"8370","2010-2011",15.8,3.2,13.5
"5400","2010-2011",10.4,0.3,6.6
"5440","2010-2011",9.2,0,11.4
"6270","2010-2011",11.2,8.6,0
"7330","2010-2011",13.1,1.3,6
"1350","2010-2011",9.9,0,0.6
"7500","2010-2011",15.2,3.4,17.8
"2620","2010-2011",3,13.8,3.7
"1200","2010-2011",8.7,0.1,0
"1380","2010-2011",12.5,0,10.3
"6540","2010-2011",9.2,6.6,0
"6480","2010-2011",9,13.9,0
"7220","2010-2011",8.9,0.7,12.7
"7110","2010-2011",27.2,0.5,5.6
"2510","2010-2011",12.5,0.6,17.8
"5680","2010-2011",19.6,0.1,21.4
"4280","2010-2011",14.9,0,0
"8180","2010-2011",17.2,5.1,1
"7380","2010-2011",9.3,1.1,17.3
"6470","2010-2011",14.4,0.8,0
"4020","2010-2011",18.5,1.4,0.5
"5020","2010-2011",21,0.7,23.4
"1400","2010-2011",5,0,15.2
"5320","2010-2011",16.7,1,6.4
"8010","2010-2011",20.6,1.9,6.1
"5080","2010-2011",4.8,4.8,3.3
"6400","2010-2011",95.5,0,1.7
"5450","2010-2011",18.2,1.4,4.5
"5480","2010-2011",14.9,3.9,0.5
"7100","2010-2011",11.8,1.3,5.5
"8120","2010-2011",13.3,2.5,10.4
"6340","2010-2011",11.2,0.2,0.2
"1110","2010-2011",25.4,1.3,0.4
"8200","2010-2011",10,4.5,13.3
"5560","2010-2011",10.8,3.4,0.7
"8240","2010-2011",14.4,2.3,5.1
"1300","2010-2011",8.9,0,0
"5490","2010-2011",10,0,12.1
"6280","2010-2011",19.6,0.4,0.4
"2010","2010-2011",22,1.9,7.2
"6050","2010-2011",2.8,12.2,2.7
"5240","2010-2011",31.6,0,8.2
"7460","2010-2011",14.4,1.9,15
"4570","2010-2011",10.2,0.8,0.3
"2730","2010-2011",22.5,2.4,17.6
"4460","2010-2011",10.1,0.6,0
"6230","2010-2011",8.1,5.7,0
"8210","2010-2011",13.3,3.8,8.3
"1390","2010-2011",3,3.4,1.3
"5530","2010-2011",6.3,0,12.4
"2210","2010-2011",26.1,6.7,2.1
"2290","2010-2011",5.9,7.1,2.5
"6090","2010-2011",13.6,1.1,1.7
"5230","2010-2011",3.2,10.1,3.3
"5650","2010-2011",22.5,0,9.3
"2380","2010-2011",7.6,19.2,0.2
"1470","2010-2011",8.5,0,0
"6390","2010-2011",15.9,0,1.1
"5430","2010-2011",8.7,11.2,1
"5170","2010-2011",18.2,0.4,26.6
"6440","2010-2011",7.5,3.4,3.1
"8420","2010-2011",16.5,4.2,3.3
"1250","2010-2011",12,0,11.8
"7310","2010-2011",11.2,3.1,16.4
"7510","2010-2011",11.6,0.3,8.8
"8400","2010-2011",6.4,1.3,14.1
"5290","2010-2011",14.7,0.5,11.8
"1460","2010-2011",9,0.8,0.6
"6010","2010-2011",1,36.2,0.9
"5550","2010-2011",22.8,1.2,11.6
"4140","2010-2011",26,0.5,0
"6040","2010-2011",9,5.4,0.5
"1420","2010-2011",16.7,0,1.1
"6220","2010-2011",12.7,0.5,0.5
"2480","2010-2011",22.2,1.5,1.5
"2370","2010-2011",13.4,0.5,0.4
"2540","2010-2011",10,1.8,33.3
"8360","2010-2011",9.2,1.3,19.7
"7360","2010-2011",21.5,0,3.8
"5340","2010-2011",25.6,0,9
"6060","2010-2011",27.7,0.9,2.6
"7010","2010-2011",22.1,1.5,6.9
"6380","2010-2011",8.7,7.3,0.3
"1150","2010-2011",16.5,0.7,12.5
"2290","2008-2009",4.7,12.3,2.4
"8160","2008-2009",18.6,19.4,8.8
"6210","2008-2009",18.1,3.1,0.3
"2640","2008-2009",15.9,0.2,24.1
"2730","2008-2009",26.8,4.9,20.7
"5170","2008-2009",23.5,1.1,29
"2690","2008-2009",12.4,0,25.1
"5420","2008-2009",11.3,1,10.4
"5430","2008-2009",8,8.2,1
"2420","2008-2009",15.3,1.2,0
"1300","2008-2009",8.6,0.4,0.4
"6030","2008-2009",18.7,1.7,2.6
