SCHOOL_CODE,SCHOOL_YEAR,TOTAL_SUSPENSIONS,SCH_ONE_TIME_SUSP,SCH_TWO_TIME_SUSP,SCH_THREE_TIME_SUSP,SCH_MORE_THAN_THREE_SUSP
"4220","2008-2009",58,40,10,6,2
"4400","2008-2009",99,41,22,15,21
"5110","2008-2009",214,97,44,22,51
"5150","2008-2009",30,23,4,2,1
"5410","2008-2009",56,25,12,8,11
"5480","2008-2009",11,10,0,1,0
"5500","2008-2009",59,38,13,4,4
"5530","2008-2009",59,37,14,4,4
"6010","2008-2009",34,33,1,0,0
"6030","2008-2009",458,159,108,83,108
"6090","2008-2009",80,64,13,2,1
"6230","2008-2009",26,18,0,4,4
"6240","2008-2009",23,16,5,1,1
"6250","2008-2009",45,33,8,3,1
"6440","2008-2009",29,16,9,3,1
"7300","2008-2009",108,77,26,2,3
"7310","2008-2009",43,33,6,1,3
"7320","2008-2009",3,3,0,0,0
"7350","2008-2009",73,50,11,6,6
"7380","2008-2009",39,26,7,4,2
"7490","2008-2009",32,28,4,0,0
"8200","2008-2009",113,67,24,13,9
"8310","2008-2009",85,53,18,9,5
"8400","2008-2009",24,16,4,1,3
"1300","2008-2009",16,12,0,2,2
"1340","2008-2009",49,32,11,5,1
"1460","2008-2009",24,16,5,3,0
"2020","2008-2009",14,9,5,0,0
"2140","2008-2009",11,9,1,0,1
"2370","2008-2009",43,29,12,1,1
"2380","2008-2009",9,6,2,1,0
"2470","2008-2009",40,29,8,3,0
"2630","2008-2009",21,19,1,1,0
"4060","2008-2009",98,72,17,5,4
"4100","2008-2009",219,104,57,25,33
"4240","2008-2009",100,67,18,6,9
"5250","2008-2009",40,24,12,3,1
"5290","2008-2009",42,29,11,2,0
"5350","2008-2009",33,24,6,3,0
"5390","2008-2009",81,57,15,8,1
"5400","2008-2009",36,25,6,1,4
"5510","2008-2009",139,94,25,11,9
"5550","2008-2009",129,77,32,12,8
"5560","2008-2009",18,15,0,3,0
"5680","2008-2009",145,85,32,13,15
"6070","2008-2009",35,28,6,0,1
"6220","2008-2009",35,20,5,4,6
"6380","2008-2009",18,14,3,0,1
"7010","2008-2009",536,319,119,48,50
"7100","2008-2009",62,43,12,6,1
"7110","2008-2009",343,166,81,42,54
"7330","2008-2009",23,17,3,1,2
"7360","2008-2009",28,14,8,3,3
"7460","2008-2009",40,28,4,5,3
"8030","2008-2009",547,335,100,61,51
"8260","2008-2009",4,3,1,0,0
"8320","2008-2009",38,25,11,1,1
"1060","2008-2009",101,76,18,3,4
"1110","2008-2009",67,47,11,5,4
"1290","2008-2009",81,48,23,6,4
"1360","2008-2009",62,32,10,7,13
"1400","2008-2009",9,5,1,1,2
"1410","2008-2009",144,70,27,16,31
"2130","2008-2009",196,96,49,28,23
"2200","2008-2009",154,97,32,10,15
"2450","2008-2009",27,19,6,2,0
"2670","2008-2009",27,21,3,3,0
"2690","2008-2009",31,22,8,0,1
"4330","2008-2009",105,72,22,9,2
"4380","2008-2009",40,27,7,4,2
"5050","2008-2009",45,34,8,3,0
"5090","2008-2009",64,52,9,2,1
"5170","2008-2009",83,55,17,7,4
"5330","2008-2009",35,27,6,1,1
"6200","2008-2009",24,19,4,1,0
"6310","2008-2009",28,19,5,2,2
"6410","2008-2009",11,9,1,1,0
